2 0.069993
3 0.110170
4 0.163429
5 0.244400
6 0.326078
7 0.435454
8 0.574694
9 0.756575
10 0.963447
11 1.191023
12 1.470870
13 1.798271
14 2.197759
15 2.631427
16 3.141419
17 3.740803
18 4.384615
19 5.152433
20 6.010524
21 7.243524
22 8.078336
23 9.238295
24 10.559381
25 12.179168
26 13.710365
27 15.687868
28 17.332903
29 19.724463
30 22.126382
31 24.589532
32 27.154556
33 31.373249
34 33.994433
35 37.379087
36 41.225560
37 45.762647
38 51.688572
39 56.050724
40 60.950837
41 66.596064
42 72.954418
43 80.002494
44 87.091461
45 94.821222
46 103.463929
47 111.833996
48 121.959099
49 132.695562
50 143.592254
51 155.356145
52 168.150716
53 182.149439
54 195.561342
